REF_AREA,REF_AREA_DESC
MX - BS,Baja California Sur
MX - CM,Campeche
MX - CS,Coahuila de Zaragoza
MX - CH,Colima
MX - DF,Chiapas
MX - CO,Chihuahua
MX - CL,Ciudad de México
MX - DG,Durango
MX - GT,Guanajuato
MX - GR,Guerrero
MX - HG,Hidalgo
MX - JA,Jalisco
MX - EM,México
MX - MI,Michoacán de Ocampo
MX - MO,Morelos
MX - NA,Nayarit
MX - NL,Nuevo León
MX - OA,Oaxaca
MX - PU,Puebla
MX - QT,Querétaro
MX - QR,Quintana Roo
MX - SL,San Luis Potosí
MX - SI,Sinaloa
MX - SO,Sonora
MX - TB,Tabasco
MX - TM,Tamaulipas
MX - TL,Tlaxcala
MX - VE,Veracruz de Ignacio de la Llave
MX - YU,Yucatán
MX - ZA,Zacatecas
MX - CS,Coahuila
MX - EM,Estado de México
MX - MI,Michoacán
MX - VE,Veracruz
ZW_01,Bulawayo
ZW_03,Manicaland
ZW_04,Mashonaland Central
ZW_05,Mashonaland East
ZW_06,Mashonaland West
ZW_08,Matabeleland North
ZW_09,Matabeleland South
ZW_10,Midlands
ZW_07,Masvingo
ZW_02,Harare
