SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2004	F	Female	4	Lone parents	7.7	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2000-2004	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2004	M	Male	4	Lone parents	1.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2000-2004	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2009	F	Female	4	Lone parents	8.3	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2005-2009	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2009	M	Male	4	Lone parents	1.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2005-2009	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2014	F	Female	4	Lone parents	7.46	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2010-2014	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2014	M	Male	4	Lone parents	1.5384249402296593	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2010-2014	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2018	F	Female	4	Lone parents	9.681315449396214	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2015-2018	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2018	M	Male	4	Lone parents	1.3401548457816923	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2015-2018	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	17.57817062	-12.33724746	24	Angola	2016	F	Female	4	Lone parents	12.1	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	17.57817062	-12.33724746	24	Angola	2016	M	Male	4	Lone parents	1.2	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	35.25694122	31.94347933	275	State of Palestine	2007	F	Female	4	Lone parents	4.7	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	35.25694122	31.94347933	275	State of Palestine	2007	M	Male	4	Lone parents	0.6	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	22.58307827	39.47301873	300	Greece	2011	F	Female	4	Lone parents	7.02	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	22.58307827	39.47301873	300	Greece	2011	M	Male	4	Lone parents	1.13	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-72.33640958	18.40426539	332	Haiti	2012	F	Female	4	Lone parents	8.3	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-72.33640958	18.40426539	332	Haiti	2012	M	Male	4	Lone parents	2.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	19.41221519	47.1651448	348	Hungary	2011	F	Female	4	Lone parents	9.35	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	19.41221519	47.1651448	348	Hungary	2011	M	Male	4	Lone parents	1.42	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-7.121425272000001	53.25274054	372	Ireland	2011	F	Female	4	Lone parents	8.75	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-7.121425272000001	53.25274054	372	Ireland	2011	M	Male	4	Lone parents	1.35	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	12.57022427	42.79917282	380	Italy	2011	F	Female	4	Lone parents	7.81	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	12.57022427	42.79917282	380	Italy	2011	M	Male	4	Lone parents	1.6	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	14.14172472	47.58704857	40	Austria	2001	F	Female	4	Lone parents	6.85	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	14.14172472	47.58704857	40	Austria	2001	M	Male	4	Lone parents	1.12	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	37.13024774	30.65365973	400	Jordan	2009	F	Female	4	Lone parents	6.4	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	37.13024774	30.65365973	400	Jordan	2009	M	Male	4	Lone parents	0.9	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	1999	F	Female	4	Lone parents	7.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	1995-1999	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	1999	M	Male	4	Lone parents	1.6	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	1995-1999	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2004	F	Female	4	Lone parents	9.2	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2000-2004	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2004	M	Male	4	Lone parents	1.8	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2000-2004	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2009	F	Female	4	Lone parents	10.0	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2005-2009	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2009	M	Male	4	Lone parents	1.8	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2005-2009	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2014	F	Female	4	Lone parents	10.172792396656316	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2010-2014	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2014	M	Male	4	Lone parents	1.8	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2010-2014	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-3.522016039	17.35311254	466	Mali	2018	F	Female	4	Lone parents	7.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-3.522016039	17.35311254	466	Mali	2018	M	Male	4	Lone parents	0.7	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2010	F	Female	4	Lone parents	8.6	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2010	M	Male	4	Lone parents	1.3	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	28.4650624	47.20236795	498	Republic of Moldova	2005	F	Female	4	Lone parents	8.22	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	28.4650624	47.20236795	498	Republic of Moldova	2005	M	Male	4	Lone parents	2.77	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	44.93839317	40.29499741	51	Armenia	2005	F	Female	4	Lone parents	9.7	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	44.93839317	40.29499741	51	Armenia	2005	M	Male	4	Lone parents	0.8	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	19.40660158	52.122673299999995	616	Poland	2002	F	Female	4	Lone parents	8.75	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	19.40660158	52.122673299999995	616	Poland	2002	M	Male	4	Lone parents	1.21	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-7.961599811	39.68509315	620	Portugal	2011	F	Female	4	Lone parents	7.09	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-7.961599811	39.68509315	620	Portugal	2011	M	Male	4	Lone parents	1.16	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-66.47591017	18.22753799	630	Puerto Rico	2010	F	Female	4	Lone parents	14.9	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-66.47591017	18.22753799	630	Puerto Rico	2010	M	Male	4	Lone parents	1.3	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	24.98481009	45.83893563	642	Romania	2011	F	Female	4	Lone parents	6.13	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	24.98481009	45.83893563	642	Romania	2011	M	Male	4	Lone parents	1.59	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	99.01404926	61.61899849	643	Russian Federation	2010	F	Female	4	Lone parents	10.19	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	99.01404926	61.61899849	643	Russian Federation	2010	M	Male	4	Lone parents	1.47	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-14.46636926	14.35920905	686	Senegal	2016	F	Female	4	Lone parents	2.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-14.46636926	14.35920905	686	Senegal	2016	M	Male	4	Lone parents	1.7	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	14.82209486	46.11958061	705	Slovenia	2002	F	Female	4	Lone parents	8.05	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	14.82209486	46.11958061	705	Slovenia	2002	M	Male	4	Lone parents	1.22	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-3.554078296	40.39211472	724	Spain	2001	F	Female	4	Lone parents	6.89	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-3.554078296	40.39211472	724	Spain	2001	M	Male	4	Lone parents	1.56	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	29.95650159	16.02643066	729	Sudan	2008	F	Female	4	Lone parents	11.4	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	29.95650159	16.02643066	729	Sudan	2008	M	Male	4	Lone parents	1.4	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	1999	F	Female	4	Lone parents	5.2	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	1995-1999	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	1999	M	Male	4	Lone parents	0.8	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	1995-1999	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	2004	F	Female	4	Lone parents	6.4	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2000-2004	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	747	Northern Africa and Western Asia	2004	M	Male	4	Lone parents	1.3	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	2000-2004	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
